Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
39901926, 125094, 21858, 181156, 21341, 95936, 222716, 12624430
42800842, 204256, 30497, 270297, 32095, 132452, 326182, 11443503
43192788, 107593, 21076, 174581, 19980, 94864, 228408, 12754062
42984189, 201420, 39434, 347631, 39013, 176128, 435840, 14849595
39702482, 207874, 39569, 346903, 39178, 165097, 461342, 11400653
42971619, 198029, 34388, 311040, 34264, 146705, 394058, 9975228
44723973, 154825, 37956, 290234, 24331, 13183, 242906, 6537051
48444652, 192154, 36993, 336520, 38527, 187262, 436912, 9866236
44841457, 199581, 36171, 264147, 40346, 20967, 385029, 9099944
34661369, 190118, 35538, 240222, 35667, 18655, 420634, 8955993
34614680, 142938, 26513, 409062, 41401, 165563, 525251, 12505525
32558526, 89076, 16943, 123083, 15000, 65237, 151382, 8322498
36422802, 206606, 39514, 411183, 38252, 165684, 438069, 11566239
31429599, 190505, 31098, 202982, 29123, 15178, 284141, 9324688
34801161, 114668, 20121, 205101, 21335, 65194, 244189, 19477657
37425370, 228850, 43222, 478355, 42927, 214007, 480248, 11894696
41365436, 211648, 47087, 350477, 38467, 166039, 442149, 12632170
42027473, 232350, 39916, 408958, 43844, 177591, 457578, 13206651
40796628, 175584, 32810, 284423, 32397, 83136, 380868, 11955680
42564874, 106347, 20531, 174338, 20544, 84901, 216195, 9128120
35511103, 193001, 36050, 302247, 54308, 26278, 436679, 10299223
32931942, 124682, 24236, 199247, 22881, 105598, 243841, 9622089
34821709, 185967, 41934, 420241, 35453, 161458, 384807, 11047585
43625167, 191668, 117490, 339967, 37695, 157541, 495879, 10685937
32402502, 170526, 31046, 260545, 29821, 133364, 331188, 10985332
32806804, 119691, 31359, 274110, 30456, 148861, 351798, 11778358
43552202, 183388, 36143, 310220, 34795, 160946, 458505, 12365499
41846757, 90892, 17084, 106000, 15900, 8172, 141768, 4647756
39978775, 154819, 29899, 260866, 29306, 146862, 331615, 14062663
40659685, 115548, 20495, 179908, 20426, 89851, 232360, 12799048
42587303, 221069, 38237, 350506, 41779, 168901, 452397, 13132798
41457150, 198042, 37455, 335733, 37514, 159250, 432396, 10971016
43563021, 183966, 34606, 237600, 34989, 17925, 335312, 9726800
45102472, 132106, 24804, 209783, 23817, 103446, 275134, 12714468
42640186, 195365, 35333, 235518, 36469, 18232, 336396, 7828907
47135231, 170365, 31800, 283031, 31960, 134155, 376241, 11179051
